CD14	CD23	CD3	CD19	Event	Population
186	0	216	198	1	1
116	272	232	175	2	4
287	370	349	288	3	9
148	111	576	104	4	8
115	198	481	217	5	8
146	178	553	269	6	8
18	53	577	0	7	8
0	0	91	42	8	1
171	290	263	129	9	4
173	338	333	254	10	9
0	110	500	229	11	8
274	321	307	277	12	9
118	212	572	220	13	8
91	205	551	271	14	8
203	219	298	203	15	4
94	220	184	121	16	1
142	97	563	277	17	8
194	261	210	212	18	4
58	153	586	249	19	8
695	234	335	197	20	7
156	170	471	272	21	8
222	197	317	344	22	5
202	245	262	280	23	5
212	299	266	253	24	5
235	237	308	151	25	4
120	4	584	239	26	8
219	489	78	552	27	2
330	388	339	360	28	9
32	209	538	285	29	8
263	319	276	301	30	9
168	218	570	232	31	8
221	363	255	328	32	9
280	319	260	250	33	9
270	312	232	214	34	4
177	307	288	226	35	4
84	171	465	220	36	8
174	213	195	238	37	5
187	165	260	183	38	4
216	224	205	267	39	5
160	132	550	288	40	8
95	191	541	292	41	8
17	191	501	219	42	8
134	208	28	528	43	2
0	63	510	321	44	8
80	252	554	238	45	8
99	0	514	143	46	8
661	131	410	347	47	7
130	134	432	277	48	8
162	285	259	283	49	5
205	338	303	208	50	4
179	273	228	205	51	4
89	171	135	206	52	1
153	669	85	506	53	2
212	286	276	303	54	5
629	0	266	267	55	7
24	241	111	455	56	2
129	221	591	256	57	8
465	250	161	182	58	7
93	203	519	175	59	8
125	161	608	226	60	8
340	454	383	372	61	3
116	226	537	222	62	8
234	284	273	281	63	9
67	0	559	210	64	8
79	90	575	184	65	8
151	188	499	242	66	8
303	376	400	337	67	9
173	237	373	213	68	4
231	284	181	256	69	5
59	587	101	521	70	2
186	140	597	299	71	8
280	377	341	377	72	9
137	197	282	266	73	5
365	388	408	175	74	9
102	181	128	220	75	1
227	205	234	281	76	5
116	71	476	231	77	8
33	427	106	522	78	2
81	131	218	208	79	1
637	41	200	166	80	7
232	273	301	224	81	4
43	418	164	521	82	2
239	306	258	283	83	9
116	28	521	199	84	8
85	198	536	0	85	8
233	304	288	180	86	4
112	126	399	298	87	8
224	268	247	321	88	5
205	235	296	320	89	5
235	281	296	292	90	9
67	142	339	156	91	1
173	141	570	241	92	8
139	215	244	141	93	4
609	0	177	151	94	7
606	8	258	325	95	7
226	253	226	164	96	4
169	181	585	227	97	8
209	246	211	166	98	4
290	378	370	290	99	9
135	256	545	174	100	8
151	87	178	222	101	1
157	218	535	252	102	8
278	237	240	228	103	4
144	622	0	496	104	2
237	273	357	327	105	9
283	256	259	255	106	9
251	184	176	26	107	1
156	59	554	248	108	8
656	23	320	168	109	7
58	45	524	142	110	8
129	305	197	258	111	5
206	272	239	250	112	5
216	202	244	268	113	5
633	333	321	313	114	7
195	290	279	338	115	5
177	306	288	234	116	4
500	107	274	271	117	7
225	246	248	217	118	4
199	240	253	226	119	5
44	115	518	198	120	8
220	317	297	244	121	9
611	247	301	355	122	7
180	360	249	213	123	4
209	248	287	191	124	4
139	293	256	120	125	4
136	285	291	248	126	5
90	202	615	307	127	8
118	167	543	211	128	8
240	213	252	267	129	5
216	316	131	141	130	4
308	280	257	330	131	9
106	38	169	0	132	1
118	206	549	260	133	8
473	316	329	284	134	7
193	338	287	203	135	4
